month,country,know_ini,ambig_ini,day,date,jul_start_date,jul_end_date,day_span,n_injurd,tar_gpol,event,posthoc,ev_type,linked,loc_type,ad_viol,weap_grd,n_killed_a,e_length,n_injurd_d,dam_prop,arrests,per_atk_i,per_atk_e,pub_order,retribution,sc_animosity,anti_gov_sentmnts,class_conflict,pol_desires,retain_power,eco_scarcity,pers_security,coup,coup_failed,region,weapon,duration,s_month,s_day,weekday
10,NA,1,FALSE,9,10/9/1990,16717,16718,2,0,FALSE,TRUE,FALSE,2,FALSE,2,FALSE,1,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,8,2
10,NA,1,FALSE,9,10/9/1990,16717,16718,2,0,FALSE,TRUE,FALSE,1,TRUE,2,FALSE,1,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,8,2
10,NA,1,FALSE,9,10/9/1990,16717,16718,2,0,FALSE,TRUE,FALSE,1,FALSE,2,FALSE,1,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,8,2
10,NA,1,FALSE,9,10/9/1990,16717,16718,2,0,FALSE,TRUE,FALSE,2,TRUE,16,FALSE,1,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,8,2
10,NA,1,FALSE,9,10/9/1990,16717,16718,2,0,FALSE,TRUE,FALSE,4,FALSE,2,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,8,2
10,NA,1,FALSE,9,10/9/1990,16717,16718,2,0,FALSE,TRUE,TRUE,4,FALSE,2,FALSE,1,0,2,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,8,2
7,NA,1,FALSE,25,7/25/1997,19195,19205,11,155,FALSE,TRUE,FALSE,2,FALSE,10,FALSE,4,15,1,10,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,18,2,7,21,2
7,NA,2,TRUE,16,7/16/1999,19724,20088,365,0,FALSE,TRUE,FALSE,2,FALSE,25,FALSE,1,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,1,1,6
10,NA,1,FALSE,16,10/16/2000,20362,20392,31,1,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,3,1,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,14,3,9,30,7
10,NA,0,FALSE,16,10/16/2000,20362,20392,31,0,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,3,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,14,3,9,30,7
10,NA,0,FALSE,31,10/31/2000,20391,20392,2,0,FALSE,TRUE,FALSE,2,TRUE,27,FALSE,1,1,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,1,10,29,1
8,NA,1,FALSE,16,8/16/2001,20668,20698,31,0,FALSE,TRUE,FALSE,4,FALSE,2,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,8,2,5
8,NA,0,FALSE,16,8/16/2001,20637,20698,62,0,FALSE,TRUE,FALSE,2,TRUE,2,FALSE,4,0,1,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,10,3,7,2,2
2,NA,1,FALSE,8,2/8/2002,20833,20879,47,0,FALSE,TRUE,TRUE,2,TRUE,2,FALSE,1,0,4,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,1,14,2
2,NA,1,FALSE,5,2/5/2002,20851,20858,8,0,FALSE,TRUE,FALSE,4,FALSE,2,FALSE,1,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,2,2,1,6
6,NA,1,FALSE,19,6/19/2002,20986,20992,7,0,FALSE,TRUE,FALSE,2,FALSE,12,FALSE,4,4,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,16,1,6,16,1
7,NA,1,FALSE,16,7/16/2002,20820,21184,365,0,FALSE,TRUE,FALSE,2,FALSE,2,FALSE,4,0,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,10,3,1,1,3
1,NA,1,FALSE,16,1/16/2005,21916,21946,31,0,FALSE,TRUE,FALSE,NA,FALSE,27,FALSE,1,200000,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,1,3,1,1,7
